Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2020,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc € ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
§ 296                                   ,   10,   5,   50,   ,   1,   ,   ,   ,   ,   ,   1,   ,   ,   49,   ,   ,   ,   ,   ,   1,   ,   ,
§ 297                                   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 298                                   ,   9,   1,   11,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 299A                                  ,   3,   1,   33,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 300/1                                 ,   28,   3,   11,  1 397,   4,   ,   ,   ,   ,   ,   ,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
§ 301/1                                 ,   26,   1,   4,   37,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 302                                   ,   385,   51,   13,  13 251,   45,   1,   ,   1,   ,   ,   2,   ,   ,   118,   1,   ,   1,   ,   ,   2,   ,   ,
§ 303                                   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 304                                   ,   2,   1,   50,   182,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 304a                                  ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 305/1                                 ,   28,   3,   11,  1 848,   4,   ,   ,   ,   ,   ,   ,   ,   ,   7,   ,   ,   ,   ,   ,   ,   ,   ,
§ 305/2                                 ,   181,   151,   83,   ,   4,   3,   ,   3,   ,   ,   5,   1,   ,   158,   1,   ,   4,   ,   ,   4,   ,   ,
§ 305/3                                 ,   5,   2,   40,   58,   3,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 305A                                  ,   10,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 306                                   ,   154,   34,   22,  2 197,   19,   ,   ,   1,   ,   ,   ,   ,   ,   68,   ,   ,   1,   ,   ,   ,   ,   ,
§ 307                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 310                                   ,   305,   174,   57,   137,   4,   2,   ,   14,   ,   ,   5,   ,   ,   207,   2,   ,   15,   ,   ,   6,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
VIII. HLAVA Tr. zákona                  ,  3 007,  2 585,   86,   866,   106,   470,   6,   3,   ,   ,   41,   4,   ,  2 424,   300,   4,   2,   ,   ,   37,   3,   ,
§ 321                                   ,   12,   5,   42,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 322                                   ,   3,   1,   33,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 323                                   ,   193,   170,   88,   1,   3,   82,   1,   ,   ,   ,   3,   2,   ,   190,   96,   1,   ,   ,   ,   3,   2,   ,
§ 324                                   ,   43,   34,   79,   1,   1,   14,   ,   ,   ,   ,   ,   ,   ,   29,   10,   ,   ,   ,   ,   ,   ,   ,
§ 326                                   ,   138,   43,   31,   494,   20,   ,   ,   ,   ,   ,   ,   ,   ,   41,   ,   ,   ,   ,   ,   ,   ,   ,
§ 327                                   ,   12,   3,   25,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 328                                   ,   6,   2,   33,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 329                                   ,   47,   24,   51,   ,   7,   ,   ,   ,   ,   ,   ,   ,   ,   50,   ,   ,   ,   ,   ,   ,   ,   ,
§ 332                                   ,   7,   4,   57,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 333                                   ,   59,   45,   76,   ,   9,   3,   ,   ,   ,   ,   ,   ,   ,   88,   3,   ,   ,   ,   ,   ,   ,   ,
§ 336/1                                 ,   4,   2,   50,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   13,   ,   ,   ,   ,   ,   ,   ,   ,
§ 336/2                                 ,   4,   2,   50,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   11,   1,   ,   ,   ,   ,   ,   ,   ,
§ 336A/1                                ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 336A/2                                ,   1,   1,   100,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 336B/1                                ,   1,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 336B/2                                ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 337                                   ,   11,   4,   36,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,   6,   1,   ,   ,   ,   ,   ,   ,   ,
§ 338/1                                 ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 339/1                                 ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 340                                   ,   3,   1,   33,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 341                                   ,   2,   2,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 342                                   ,   1,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 343                                   ,   2,   2,   100,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 344                                   ,   56,   27,   48,   147,   10,   ,   ,   ,   ,   ,   ,   ,   ,   35,   ,   ,   ,   ,   ,   ,   ,   ,
§ 345                                   ,   81,   71,   88,   136,   4,   ,   ,   1,   ,   ,   10,   ,   ,   76,   ,   ,   1,   ,   ,   10,   ,   ,
§ 346/1                                 ,   55,   47,   85,   ,   2,   ,   ,   ,   ,   ,   6,   ,   ,   54,   ,   ,   ,   ,   ,   6,   ,   ,
§ 346/2                                 ,   5,   5,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 347                                   ,   6,   2,   33,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 348/1                                 ,  2 009,  1 961,   98,   29,   24,   369,   5,   2,   ,   ,   22,   2,   ,  1 656,   189,   3,   1,   ,   ,   18,   1,   ,
§ 348/2                                 ,   5,   5,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 349                                   ,   35,   14,   40,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   14,   ,   ,   ,   ,   ,   ,   ,   ,
§ 351/2                                 ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 352/1                                 ,   151,   81,   54,   5,   12,   ,   ,   ,   ,   ,   ,   ,   ,   83,   ,   ,   ,   ,   ,   ,   ,   ,
§ 352/2                                 ,   8,   5,   63,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
§ 352a                                  ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 353/1                                 ,   1,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 355/1                                 ,   15,   10,   67,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   10,   ,   ,   ,   ,   ,   ,   ,   ,
§ 355/2                                 ,   7,   6,   86,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   8,   ,   ,   ,   ,   ,   ,   ,   ,
§ 356                                   ,   12,   4,   33,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   11,   ,   ,   ,   ,   ,   ,   ,   ,
§ 357                                   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
IX. HLAVA Tr. zákona                    ,  3 686,  2 740,   74,   80,   186,  1 209,   18,   56,   ,   ,   205,   29,   ,  2 912,  1 212,   12,   69,   ,   ,   222,   31,   ,
§ 359                                   ,   22,   21,   95,   ,   2,   14,   ,   ,   ,   ,   1,   ,   ,   22,   14,   ,   ,   ,   ,   1,   ,   ,
§ 360                                   ,  1 794,  1 617,   90,   6,   35,   881,   14,   5,   ,   ,   24,   7,   ,  1 550,   846,   11,   5,   ,   ,   20,   5,   ,
§ 360A                                  ,   138,   99,   72,   1,   11,   7,   ,   1,   ,   ,   ,   ,   ,   101,   7,   ,   1,   ,   ,   ,   ,   ,
§ 361/1                                 ,   46,   15,   33,   ,   5,   4,   ,   ,   ,   ,   1,   ,   ,   19,   3,   ,   ,   ,   ,   1,   ,   ,
§ 361/2                                 ,   12,   2,   17,   ,   2,   1,   ,   ,   ,   ,   ,   ,   ,   5,   1,   ,   ,   ,   ,   ,   ,   ,
§ 363                                   ,   18,   18,   100,   ,   1,   11,   2,   ,   ,   ,   ,   ,   ,   14,   9,   ,   ,   ,   ,   ,   ,   ,
§ 364                                   ,   883,   719,   81,   7,   53,   285,   1,   26,   ,   ,   102,   21,   ,   945,   326,   ,   28,   ,   ,   131,   25,   ,
§ 365                                   ,   36,   10,   28,   11,   3,   2,   ,   4,   ,   ,   1,   ,   ,   23,   2,   ,   15,   ,   ,   1,   ,   ,
§ 366                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 367                                   ,   3,   2,   67,   ,   1,   ,   ,   ,   ,   ,   1,   ,   ,   4,   ,   ,   ,   ,   ,   1,   ,   ,
§ 368                                   ,   39,   18,   46,   ,   2,   ,   ,   2,   ,   ,   6,   ,   ,   14,   ,   ,   1,   ,   ,   6,   ,   ,
§ 369                                   ,   316,   67,   21,   ,   49,   ,   ,   15,   ,   ,   55,   ,   ,   106,   ,   ,   15,   ,   ,   51,   ,   ,
§ 370                                   ,   48,   29,   60,   ,   6,   ,   ,   ,   ,   ,   8,   ,   ,   13,   ,   ,   ,   ,   ,   4,   ,   ,
§ 371                                   ,   3,   2,   67,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 372                                   ,   4,   1,   25,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 373                                   ,   84,   19,   23,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   19,   ,   ,   ,   ,   ,   ,   ,   ,
§ 374                                   ,   38,   16,   42,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
§ 375                                   ,   105,   48,   46,   47,   7,   1,   1,   ,   ,   ,   ,   ,   ,   27,   1,   1,   ,   ,   ,   ,   ,   ,
§ 376                                   ,   5,   1,   20,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 377                                   ,   7,   2,   29,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 378                                   ,   84,   34,   40,   5,   3,   3,   ,   3,   ,   ,   6,   1,   ,   39,   3,   ,   4,   ,   ,   6,   1,   ,
§ 378A                                  ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
X. HLAVA Tr. zákona                     ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 392                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
XI. HLAVA Tr. zákona                    ,   5,   3,   60,   ,   1,   2,   ,   ,   ,   ,   ,   ,   ,   4,   2,   ,   ,   ,   ,   ,   ,   ,
§ 393                                   ,   1,   1,   100,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,   2,   1,   ,   ,   ,   ,   ,   ,   ,
§ 402                                   ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 404                                   ,   1,   1,   100,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,
§ 408/1                                 ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
XII. HLAVA Tr. zákona                   ,   115,   38,   33,   ,   26,   6,   ,   ,   ,   ,   5,   1,   ,   67,   8,   ,   ,   ,   ,   5,   1,   ,
§ 419                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 419B                                  ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 421                                   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 422/1                                 ,   24,   12,   50,   ,   2,   6,   ,   ,   ,   ,   2,   1,   ,   17,   8,   ,   ,   ,   ,   2,   1,   ,
§ 422A                                  ,   5,   1,   20,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   10,   ,   ,   ,   ,   ,   ,   ,   ,
§ 422B                                  ,   31,   11,   35,   ,   20,   ,   ,   ,   ,   ,   3,   ,   ,   31,   ,   ,   ,   ,   ,   3,   ,   ,
§ 422C                                  ,   14,   8,   57,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 422D                                  ,   10,   3,   30,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 423/1A                                ,   9,   1,   11,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 423/1B                                ,   4,   1,   25,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 424/1                                 ,   11,   1,   9,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
Tr.zákon è.140/1961 Zb.                 ,   3,   1,   33,   845,   4,   ,   ,   ,   ,   ,   ,   ,   ,   8,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
CELKOVÁ  KRIMINALITA                    ,  54 244,  32 709,   60,  287 553,  3 597,  7 957,   191,   576,   4,   1,  1 968,   157,   3,  36 578,  7 707,   173,   738,   4,   1,  2 041,   164,   3,
,,,,,,,,,,,,,,,,,,,,,,,
