Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2012,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc € ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
§ 196/2                                 ,   2,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 197/1                                 ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 198                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 199                                   ,   87,   49,   56,   ,   9,   20,   1,   6,   ,   ,   9,   1,   ,   51,   22,   1,   4,   ,   ,   6,   1,   ,
§ 200                                   ,   54,   37,   69,   ,   6,   3,   ,   9,   ,   ,   12,   ,   ,   39,   4,   ,   9,   ,   ,   12,   ,   ,
§ 201                                   ,   482,   404,   84,   ,   27,   12,   ,   20,   ,   ,   235,   4,   ,   426,   11,   ,   21,   ,   ,   234,   4,   ,
§ 202                                   ,   13,   11,   85,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   8,   1,   ,   ,   ,   ,   ,   ,   ,
§ 203                                   ,   7,   6,   86,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   4,   1,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
III. HLAVA Tr. zákona                   ,  9 506,  8 291,   87,   7,   836,   95,   1,   1,   ,   ,   8,   ,   ,  9 705,   94,   1,   1,   ,   ,   7,   ,   ,
§ 205                                   ,   6,   3,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 206                                   ,   6,   3,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 207/1                                 ,  7 333,  6 423,   88,   6,   678,   18,   ,   ,   ,   ,   5,   ,   ,  7 050,   18,   ,   ,   ,   ,   4,   ,   ,
§ 207/2                                 ,   446,   410,   92,   ,   78,   5,   ,   ,   ,   ,   ,   ,   ,   473,   5,   ,   ,   ,   ,   ,   ,   ,
§ 208                                   ,   284,   159,   56,   1,   24,   65,   1,   1,   ,   ,   3,   ,   ,   186,   63,   1,   1,   ,   ,   3,   ,   ,
§ 209                                   ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 210                                   ,   5,   2,   40,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 211/1                                 ,  1 424,  1 290,   91,   ,   56,   7,   ,   ,   ,   ,   ,   ,   ,  1 986,   8,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
IV. HLAVA Tr. zákona                    ,  48 718,  17 262,   35,  399 491,  2 238,  1 212,   27,   479,   1,   ,  2 269,   82,   6,  20 291,  1 193,   22,   549,   1,   ,  2 261,   82,   4,
§ 212                                   ,  34 730,  11 980,   34,  76 671,   723,   942,   21,   427,   1,   ,  2 004,   61,   6,  13 298,   921,   16,   493,   1,   ,  1 993,   58,   4,
     - § 212/1                          ,  9 449,  2 043,   22,  39 314,   220,   108,   6,   32,   ,   ,   353,   11,   ,  2 531,   105,   6,   37,   ,   ,   361,   11,   ,
     - § 212/2a                         ,  15 686,  3 415,   22,  32 356,   392,   341,   12,   125,   ,   ,   903,   37,   5,  4 168,   348,   7,   167,   ,   ,   959,   35,   3,
     - § 212/2b                         ,   49,   37,   76,   24,   3,   3,   ,   ,   ,   ,   5,   ,   ,   42,   3,   ,   ,   ,   ,   4,   ,   ,
     - § 212/2c                         ,  3 075,   585,   19,  1 170,   46,   66,   1,   38,   ,   ,   135,   5,   ,   612,   64,   1,   45,   ,   ,   118,   5,   ,
     - § 212/2d                         ,  1 540,  1 206,   78,   975,   14,   17,   ,   227,   1,   ,   185,   2,   ,  1 532,   20,   ,   242,   1,   ,   211,   2,   ,
     - § 212/2e                         ,  1 028,   822,   80,  2 632,   34,   8,   1,   1,   ,   ,   8,   ,   ,   895,   8,   1,   ,   ,   ,   8,   ,   ,
     - § 212/2f                         ,  3 903,  3 872,   99,   197,   14,   399,   1,   4,   ,   ,   415,   6,   1,  3 518,   373,   1,   2,   ,   ,   332,   5,   1,
§ 213                                   ,  1 096,   669,   61,  27 987,   233,   3,   ,   ,   ,   ,   7,   ,   ,   883,   3,   ,   ,   ,   ,   6,   ,   ,
§ 214                                   ,   454,   153,   34,  1 911,   70,   2,   ,   ,   ,   ,   1,   ,   ,   236,   2,   ,   ,   ,   ,   1,   ,   ,
§ 215                                   ,   41,   11,   27,   839,   ,   ,   ,   ,   ,   ,   1,   ,   ,   12,   ,   ,   ,   ,   ,   1,   ,   ,
§ 216                                   ,   472,   384,   81,  1 240,   14,   70,   2,   3,   ,   ,   98,   11,   ,   376,   63,   2,   3,   ,   ,   97,   10,   ,
