Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.05.2024,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc € ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
§ 324                                   ,   8,   6,   75,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   4,   2,   ,   ,   ,   ,   ,   ,   ,
§ 326                                   ,   42,   11,   26,  1 639,   8,   ,   ,   ,   ,   ,   ,   ,   ,   26,   ,   ,   ,   ,   ,   ,   ,   ,
§ 327                                   ,   6,   2,   33,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 328                                   ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 329                                   ,   5,   4,   80,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,   14,   ,   ,   ,   ,   ,   ,   ,   ,
§ 332                                   ,   3,   1,   33,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 333                                   ,   8,   6,   75,   ,   6,   1,   ,   ,   ,   ,   ,   ,   ,   14,   1,   ,   ,   ,   ,   ,   ,   ,
§ 336/1                                 ,   1,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 336/2                                 ,   4,   4,   100,   ,   1,   ,   ,   ,   ,   ,   1,   ,   ,   28,   ,   ,   ,   ,   ,   1,   ,   ,
§ 337                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 338/1                                 ,   11,   3,   27,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 339/1                                 ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 341                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 344                                   ,   18,   3,   17,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,   8,   ,   ,   ,   ,   ,   ,   ,   ,
§ 345                                   ,   21,   16,   76,   ,   2,   ,   ,   1,   ,   ,   ,   ,   ,   18,   ,   ,   1,   ,   ,   ,   ,   ,
§ 346/1                                 ,   15,   12,   80,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   16,   ,   ,   ,   ,   ,   ,   ,   ,
§ 346/2                                 ,   2,   2,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 347                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 348/1                                 ,   829,   781,   94,   ,   24,   105,   1,   ,   ,   ,   16,   1,   ,   687,   39,   1,   ,   ,   ,   12,   1,   ,
§ 348/2                                 ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 349                                   ,   11,   5,   45,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
§ 351/1                                 ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 351/2                                 ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 352/1                                 ,   59,   30,   51,   3,   7,   1,   ,   ,   ,   ,   ,   ,   ,   38,   1,   ,   ,   ,   ,   ,   ,   ,
§ 352/2                                 ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 352a                                  ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 355/1                                 ,   5,   3,   60,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   7,   ,   ,   ,   ,   ,   ,   ,   ,
§ 355/2                                 ,   4,   2,   50,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 356                                   ,   7,   4,   57,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   11,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
IX. HLAVA Tr. zákona                    ,  1 254,   812,   65,   37,   137,   175,   3,   35,   ,   ,   91,   4,   ,   979,   180,   3,   39,   ,   ,   98,   4,   ,
§ 359                                   ,   27,   18,   67,   ,   ,   1,   ,   1,   ,   ,   5,   ,   ,   18,   1,   ,   1,   ,   ,   5,   ,   ,
§ 360                                   ,   587,   457,   78,   2,   22,   134,   2,   9,   ,   ,   14,   1,   ,   468,   133,   2,   9,   ,   ,   14,   1,   ,
§ 360A                                  ,   61,   49,   80,   ,   3,   3,   ,   1,   ,   ,   ,   ,   ,   55,   3,   ,   3,   ,   ,   ,   ,   ,
§ 361/1                                 ,   30,   7,   23,   ,   1,   ,   ,   1,   ,   ,   2,   ,   ,   8,   ,   ,   1,   ,   ,   2,   ,   ,
§ 361/2                                 ,   10,   5,   50,   ,   1,   1,   ,   ,   ,   ,   1,   ,   ,   7,   1,   ,   ,   ,   ,   1,   ,   ,
§ 363                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 364                                   ,   352,   218,   62,   22,   51,   35,   1,   14,   ,   ,   43,   2,   ,   332,   41,   1,   16,   ,   ,   53,   2,   ,
§ 365                                   ,   11,   3,   27,   8,   2,   ,   ,   1,   ,   ,   ,   ,   ,   5,   ,   ,   1,   ,   ,   ,   ,   ,
§ 366                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 367                                   ,   1,   1,   100,   ,   3,   ,   ,   ,   ,   ,   1,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 368                                   ,   12,   5,   42,   ,   6,   1,   ,   ,   ,   ,   5,   1,   ,   9,   1,   ,   ,   ,   ,   5,   1,   ,
§ 369                                   ,   43,   14,   33,   ,   28,   ,   ,   4,   ,   ,   17,   ,   ,   35,   ,   ,   4,   ,   ,   16,   ,   ,
§ 370                                   ,   29,   12,   41,   ,   8,   ,   ,   1,   ,   ,   3,   ,   ,   13,   ,   ,   1,   ,   ,   2,   ,   ,
§ 371                                   ,   2,   2,   100,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   2,   ,   ,   2,   ,   ,   ,   ,   ,
§ 372                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 373                                   ,   22,   2,   9,   ,   3,   ,   ,   1,   ,   ,   ,   ,   ,   5,   ,   ,   1,   ,   ,   ,   ,   ,
§ 374                                   ,   14,   3,   21,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 375                                   ,   31,   9,   29,   2,   4,   ,   ,   ,   ,   ,   ,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
§ 376                                   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 377                                   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
X. HLAVA Tr. zákona                     ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 392                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
XI. HLAVA Tr. zákona                    ,   1,   1,   100,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,   2,   1,   ,   ,   ,   ,   ,   ,   ,
§ 402                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 408/1                                 ,   ,   ,   ,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
XII. HLAVA Tr. zákona                   ,   43,   19,   44,   ,   17,   ,   ,   3,   ,   ,   6,   ,   ,   27,   ,   ,   3,   ,   ,   4,   ,   ,
§ 419                                   ,   3,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 419B                                  ,   2,   2,   100,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 421                                   ,   4,   1,   25,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   2,   ,   ,   ,   ,   ,   2,   ,   ,
§ 422/1                                 ,   13,   7,   54,   ,   2,   ,   ,   2,   ,   ,   1,   ,   ,   7,   ,   ,   2,   ,   ,   1,   ,   ,
§ 422B                                  ,   8,   2,   25,   ,   8,   ,   ,   1,   ,   ,   2,   ,   ,   8,   ,   ,   1,   ,   ,   1,   ,   ,
§ 422C                                  ,   9,   5,   56,   ,   4,   ,   ,   ,   ,   ,   1,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 423/1A                                ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 423/1B                                ,   1,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 424/1                                 ,   2,   1,   50,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
Tr.zákon è.140/1961 Zb.                 ,   2,   1,   50,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
CELKOVÁ  KRIMINALITA                    ,  22 911,  11 741,   51,  153 442,  2 846,  2 314,   173,   166,   ,   ,   750,   24,   3,  14 999,  2 212,   159,   207,   ,   ,   770,   24,   3,
,,,,,,,,,,,,,,,,,,,,,,,
