Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2008,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc SKK ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
III. HLAVA Tr. zákona                   ,  8 059,  6 506,   81,   4,   993,   168,   2,   ,   ,   ,   3,   ,   ,  7 725,   157,   1,   ,   ,   ,   3,   ,   ,
§ 204                                   ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 205                                   ,   32,   17,   53,   ,   1,   2,   ,   ,   ,   ,   1,   ,   ,   18,   2,   ,   ,   ,   ,   1,   ,   ,
§ 206                                   ,   14,   8,   57,   ,   3,   1,   ,   ,   ,   ,   ,   ,   ,   11,   1,   ,   ,   ,   ,   ,   ,   ,
§ 207/1                                 ,  6 409,  5 204,   81,   4,   838,   25,   ,   ,   ,   ,   ,   ,   ,  5 969,   23,   ,   ,   ,   ,   ,   ,   ,
§ 207/2                                 ,   309,   274,   89,   ,   81,   ,   ,   ,   ,   ,   ,   ,   ,   343,   ,   ,   ,   ,   ,   ,   ,   ,
§ 208                                   ,   492,   310,   63,   ,   30,   138,   2,   ,   ,   ,   1,   ,   ,   311,   129,   1,   ,   ,   ,   1,   ,   ,
§ 209                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 210                                   ,   7,   5,   71,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   7,   ,   ,   ,   ,   ,   ,   ,   ,
§ 211/1                                 ,   793,   686,   87,   ,   39,   2,   ,   ,   ,   ,   1,   ,   ,  1 064,   2,   ,   ,   ,   ,   1,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
IV. HLAVA Tr. zákona                    ,  65 606,  18 710,   29, 8 367 317,  2 125,  1 231,   13,   784,   2,   ,  3 388,   160,   2,  20 843,  1 156,   12,  1 078,   4,   ,  3 201,   137,   2,
§ 212                                   ,  47 946,  11 977,   25, 3 557 182,   874,   878,   9,   678,   1,   ,  2 783,   107,   ,  12 778,   818,   9,   896,   ,   ,  2 584,   90,   ,
     - § 212/1                          ,  14 422,  2 353,   16, 1 764 765,   282,   123,   2,   74,   1,   ,   543,   17,   ,  2 872,   138,   3,   87,   ,   ,   554,   15,   ,
     - § 212/2a                         ,  23 394,  3 894,   17, 1 683 822,   473,   339,   5,   289,   ,   ,  1 422,   63,   ,  4 394,   343,   4,   469,   ,   ,  1 326,   55,   ,
     - § 212/2b                         ,   66,   33,   50,  1 297,   3,   4,   ,   1,   ,   ,   7,   ,   ,   31,   5,   ,   1,   ,   ,   4,   ,   ,
     - § 212/2c                         ,  4 591,   783,   17,  51 121,   56,   84,   1,   87,   ,   ,   207,   7,   ,   806,   74,   1,   92,   ,   ,   191,   6,   ,
     - § 212/2d                         ,  1 341,   922,   69,  38 368,   14,   4,   ,   224,   ,   ,   181,   2,   ,  1 149,   4,   ,   246,   ,   ,   199,   2,   ,
     - § 212/2e                         ,   798,   707,   89,  11 787,   27,   4,   ,   ,   ,   ,   6,   ,   ,   761,   4,   ,   ,   ,   ,   6,   ,   ,
     - § 212/2f                         ,  3 334,  3 285,   99,  6 021,   19,   320,   1,   3,   ,   ,   417,   18,   ,  2 765,   250,   1,   1,   ,   ,   304,   12,   ,
§ 213                                   ,  1 349,   729,   54,  810 199,   209,   ,   ,   ,   ,   ,   6,   ,   ,   882,   ,   ,   ,   ,   ,   5,   ,   ,
§ 214                                   ,   396,   99,   25,  26 508,   47,   2,   ,   ,   ,   ,   ,   ,   ,   150,   2,   ,   ,   ,   ,   ,   ,   ,
§ 215                                   ,   48,   18,   38,  9 776,   4,   ,   ,   1,   ,   ,   ,   ,   ,   26,   ,   ,   4,   ,   ,   ,   ,   ,
§ 216                                   ,   881,   663,   75,  128 076,   27,   121,   ,   8,   ,   ,   269,   25,   ,   677,   119,   ,   7,   ,   ,   270,   26,   ,
§ 217                                   ,   284,   177,   62,  72 283,   26,   16,   ,   ,   ,   ,   2,   ,   ,   189,   14,   ,   ,   ,   ,   2,   ,   ,
§ 218/1                                 ,   132,   73,   55,  1 608,   11,   1,   ,   ,   ,   ,   1,   ,   ,   109,   1,   ,   ,   ,   ,   ,   ,   ,
§ 218/2                                 ,   44,   26,   59,  2 090,   3,   ,   ,   ,   ,   ,   ,   ,   ,   34,   ,   ,   ,   ,   ,   ,   ,   ,
§ 219/1                                 ,  2 507,   332,   13,  68 974,   68,   14,   2,   3,   ,   ,   49,   2,   1,   346,   10,   1,   1,   ,   ,   43,   1,   1,
§ 220                                   ,   115,   32,   28,  4 323,   11,   ,   ,   ,   ,   ,   ,   ,   ,   46,   ,   ,   ,   ,   ,   ,   ,   ,
§ 221                                   ,  3 407,  1 371,   40, 2 195 932,   401,   6,   ,   ,   ,   ,   13,   ,   ,  1 763,   5,   ,   ,   ,   ,   16,   ,   ,
