Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2002   ( Tr.zákon è.140/1961 Zb. ) ,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc SKK ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
§ 192                                   ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 193                                   ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 194                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 194a                                  ,   14,   11,   79,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   13,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
V. HLAVA Tr. zákona                     ,  8 091,  7 484,   92,  46 462,   52,  4 325,   4,   68,   1,   ,   312,   44,   ,  7 253,  4 013,   3,   80,   1,   ,   322,   41,   ,
§ 196/1                                 ,   91,   81,   89,   22,   1,   30,   1,   1,   ,   ,   4,   ,   ,   89,   26,   1,   1,   ,   ,   4,   ,   ,
§ 196/2                                 ,   12,   8,   67,   1,   2,   1,   ,   ,   ,   ,   4,   ,   ,   9,   1,   ,   ,   ,   ,   4,   ,   ,
§ 197a                                  ,  5 456,  5 339,   98,   563,   17,  3 098,   2,   21,   ,   ,   98,   16,   ,  5 129,  3 007,   1,   12,   ,   ,   87,   16,   ,
§ 198                                   ,   7,   6,   86,   ,   ,   2,   ,   1,   ,   ,   1,   ,   ,   6,   1,   ,   1,   ,   ,   2,   ,   ,
§ 198a                                  ,   3,   2,   67,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   2,   ,   ,   ,   ,   ,   1,   ,   ,
§ 199                                   ,   156,   38,   24,   ,   4,   2,   ,   5,   ,   ,   22,   1,   ,   43,   2,   ,   5,   ,   ,   23,   1,   ,
§ 201                                   ,   896,   877,   98,  35 145,   10,   861,   ,   ,   ,   ,   6,   5,   ,   643,   617,   ,   ,   ,   ,   5,   4,   ,
§ 201a                                  ,   7,   7,   100,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   3,   2,   ,   ,   ,   ,   ,   ,   ,
§ 202                                   ,  1 073,   962,   90,  9 346,   13,   298,   1,   38,   1,   ,   166,   19,   ,  1 201,   351,   1,   58,   1,   ,   188,   19,   ,
§ 203                                   ,   12,   9,   75,   6,   1,   1,   ,   1,   ,   ,   3,   ,   ,   12,   1,   ,   2,   ,   ,   3,   ,   ,
§ 204                                   ,   23,   20,   87,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   28,   ,   ,   ,   ,   ,   1,   ,   ,
§ 205                                   ,   5,   3,   60,   ,   ,   ,   ,   1,   ,   ,   1,   ,   ,   2,   ,   ,   1,   ,   ,   ,   ,   ,
