Nápad vecí na prokurátora za mesiac,,,,,,,,,,,,,Nápad vecí na prokurátora za rok,,,,,,,,,
OP,Prešov,19.39,18.59,20.23,18.72,18.94,19.69,20.24,21.58,28.44,32.89,,232.68,223.08,242.76,224.64,227.28,236.28,242.88,258.96,341.28,394.68
OP,Stará Ľubovňa,19.81,14.35,15.15,18.02,17.67,20.65,23.21,21.23,17.33,18.31,,237.72,172.2,181.8,216.24,212.04,247.8,278.52,254.76,207.96,219.72
OP,Svidník,15.98,17.13,19.01,25.72,20.19,20.04,23.83,21.56,20.75,20.7,,191.76,205.56,228.12,308.64,242.28,240.48,285.96,258.72,249,248.4
OP,Vranov nad Topľou,15.29,20.1,19.86,19.2,19.49,20.86,19.03,17.25,21.13,20.71,,183.48,241.2,238.32,230.4,233.88,250.32,228.36,207,253.56,248.52
KP,Košice,12.92,11.41,11.1,11.22,11.14,9.98,11.02,10.35,7.9,9.11,,155.04,136.92,133.2,134.64,133.68,119.76,132.24,124.2,94.8,109.32
OP,Košice I,18.85,22.86,26.92,31.5,24.76,24.5,19.59,19.61,32.3,29.01,,226.2,274.32,323.04,378,297.12,294,235.08,235.32,387.6,348.12
OP,Košice II,17.12,18.89,22.33,24.28,25.5,23.2,21.91,22.48,30.01,23.08,,205.44,226.68,267.96,291.36,306,278.4,262.92,269.76,360.12,276.96
OP,Košice - okolie,14.89,17.71,18.81,17.7,19.99,18.84,20.09,18.35,21.09,19.06,,178.68,212.52,225.72,212.4,239.88,226.08,241.08,220.2,253.08,228.72
OP,Michalovce,21.56,21.73,21.73,20.62,22.13,23.05,23.16,21.78,24.86,23.65,,258.72,260.76,260.76,247.44,265.56,276.6,277.92,261.36,298.32,283.8
OP,Rožňava,17.47,20.17,21.69,20.67,30.65,27.1,32.11,27.28,26.66,26.06,,209.64,242.04,260.28,248.04,367.8,325.2,385.32,327.36,319.92,312.72
OP,Spišská Nová Ves,22.23,24.12,23.79,23.93,23.67,22.72,25.26,24.05,27.3,27.17,,266.76,289.44,285.48,287.16,284.04,272.64,303.12,288.6,327.6,326.04
OP,Trebišov,18.86,19.51,20.03,18.77,19,20.13,20.42,19.12,23.97,24.31,,226.32,234.12,240.36,225.24,228,241.56,245.04,229.44,287.64,291.72
